Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
USDE29470-USD,0.0,0.13,0.15,-0.04,0.02,-0.11,Ethena USDe USD,Crypto Most Active
GALA-USD,0.97,14.93,-4.77,-49.04,-58.48,1136.03,Gala USD,Crypto Most Active
ETC-USD,-1.6,9.61,-2.78,-44.89,-43.08,168.19,Ethereum Classic USD,Crypto Most Active
XTER-USD,4.76,-20.17,-21.8,-42.17,-42.17,-42.17,Xterio USD,Crypto Most Active
PSTAKE-USD,29.93,374.64,268.03,40.24,-8.05,-90.36,pSTAKE Finance USD,Crypto Most Active
RENDER-USD,1.83,11.27,27.16,-40.1,-53.25,8415.26,Render USD,Crypto Most Active
EIGEN-USD,3.08,57.44,-15.94,-64.41,-64.6,-64.6,EigenLayer USD,Crypto Most Active
LDO-USD,2.07,4.79,-34.88,-51.33,-64.7,-50.25,Lido DAO USD,Crypto Most Active
DEFAI-USD,19583.61,5323.04,4338.06,4338.06,4338.06,4338.06,DeFi Agents AI USD,Crypto Gainers
SNL35953-USD,inf,-82.23,inf,inf,inf,inf,Snow Leopard USD,Crypto Gainers
BPX10720-USD,21.03,-13.11,1781.17,669.36,3657737.3,1643871.76,Black Phoenix USD,Crypto Gainers
BITCOIN33683-USD,11204.67,14030.83,79032.67,26277.56,395563.36,395563.36,HarryPotterObamaSonic10Inu 2.0 USD,Crypto Gainers
MOODENG33647-USD,-81.94,-87.1,-54.85,-69.9,inf,inf,Moo Deng (moodeng.sbs) USD,Crypto Gainers
GROK33471-USD,-99.19,-87.35,-17.83,2853.91,31736.55,31736.55,SORA GROK USD,Crypto Gainers
TURBO33724-USD,19253.49,23979.34,1035311.66,4141546.63,4141546.63,4141546.63,Turbo Trump USD,Crypto Gainers
BEER32150-USD,18491.69,9195.85,-34.07,1099.46,6097.23,6097.23,Beers USD,Crypto Gainers
TRUMP32929-USD,17.61,-14.29,381.93,488.65,287515.16,287515.16,BOME TRUMP USD,Crypto Gainers
DOGS32713-USD,19.31,-17.4,257.92,-69.32,inf,inf,HARRIS DOGS USD,Crypto Gainers
TRUMP31874-USD,-15.3,69.4,-57.65,69.4,inf,inf,PEPE USD,Crypto Gainers
USDTX-USD,6.26,6.24,6.24,6.24,6.24,6.24,USD X20 USD,Crypto Gainers
GME32488-USD,-96.66,-99.56,-93.67,-100.0,307.19,307.19,GameStop Coin USD,Crypto Gainers
STC20513-USD,79.25,-26.34,-47.28,-49.03,-89.47,-89.01,SaitaChain Coin USD,Crypto Gainers
TRUMP32865-USD,15383.73,-74.08,1620.41,18.5,46351.2,46351.2,TRUMP AI USD,Crypto Gainers
GROK36159-USD,-43.15,610.58,847.44,847.44,847.44,847.44,TRUMP GROK (trumpgrok.org) USD,Crypto Gainers
TURBO36554-USD,18.2,1686.97,1686.97,1686.97,1686.97,1686.97,TURBO BOME USD,Crypto Gainers
SMOL28839-USD,inf,-79.36,-79.36,-86.24,-86.24,-96.25,Smolcoin USD,Crypto Gainers
BITMETA-USD,,,,,,-94.35,Bitcoin Metaverse USD,Crypto Gainers
TRUMP36158-USD,27.4,545.66,1360.19,1360.19,1360.19,1360.19,MAGA TRUMP (magatrumpcoin.com) USD,Crypto Gainers
SISC-USD,403.56,-72.51,-68.82,-55.1,-57.78,-53.26,Shirushi Coin USD,Crypto Gainers
LVN-USD,331.58,691.23,536.58,142.63,-28.81,-92.77,Levana Protocol USD,Crypto Gainers
TRUMP36371-USD,-40.17,-61.07,-61.07,-61.07,-61.07,-61.07,TRUMP MOG (trumpmog.me) USD,Crypto Gainers
TST35796-USD,-15.18,150.99,-42.8,-42.8,-42.8,-42.8,[Fake] Test (testtoken.me) USD,Crypto Gainers
BEER36413-USD,46.19,1463.77,1463.77,1463.77,1463.77,1463.77,Beers USD,Crypto Gainers
BROCCOLI35787-USD,-16.11,473.24,-90.26,-90.26,-90.26,-90.26,Broccoli(broccolicoin.me) USD,Crypto Gainers
FISH2-USD,-14.66,798.76,1103.88,1103.88,1103.88,1103.88,FISH2 USD,Crypto Gainers
MOG33033-USD,-75.66,842.11,102.45,23923.81,47947.63,47947.63,MOG CAT USD,Crypto Gainers
FARTCOIN36328-USD,516.51,4010.09,2580.49,2580.49,2580.49,2580.49,FARTCOIN (fartcoin.one) USD,Crypto Gainers
MUBARAK36127-USD,5546.61,23.95,360.53,360.53,360.53,360.53,Mubarak(mubarakcoin.link) USD,Crypto Gainers
MAGA32751-USD,10360.9,2817.6,24754.48,78605.84,236017.52,236017.52,TRUMP MAGA (trumpmaga.me) USD,Crypto Gainers
BOME33369-USD,inf,inf,inf,inf,inf,inf,Book of Meme 3.0 USD,Crypto Gainers
CA36577-USD,305.72,316.74,316.74,316.74,316.74,316.74,Caila USD,Crypto Gainers
TRUMP36286-USD,inf,inf,inf,inf,inf,inf,PEPE TRUMP (pepetrump.cc) USD,Crypto Gainers
IP36200-USD,3666.32,438.05,1783.16,1783.16,1783.16,1783.16,TRUMP IP USD,Crypto Gainers
PEPE36287-USD,-52.94,444.84,372.2,372.2,372.2,372.2,PEPE AI (pepeai.one) USD,Crypto Gainers
SQUIRT36452-USD,115.43,-56.6,-56.6,-56.6,-56.6,-56.6,SQUIRTLE USD,Crypto Gainers
WNZ25785-USD,,109.25,67.72,82.19,-5.58,59.99,Winnerz USD,Crypto Gainers
WING7048-USD,77.55,-60.1,-87.46,-93.47,-93.47,-99.33,Wing Finance USD,Crypto Gainers
CBC5563-USD,99.39,20.23,100.24,-45.89,34.67,-76.78,CryptoBharatCoin USD,Crypto Gainers
DOGEI-USD,inf,inf,inf,-12.17,-70.72,-70.72,Dogei USD,Crypto Gainers
MIXIE-USD,267.56,92.54,92.54,92.54,92.54,92.54,Mixie USD,Crypto Gainers
CANDY22794-USD,95.06,14.61,-41.56,-86.48,-61.14,-97.03,Bored Candy City USD,Crypto Gainers
DEFAI35257-USD,202.53,319.2,213.33,213.33,213.33,213.33,DeFAI USD,Crypto Gainers
TXT-USD,68.07,-8.63,167.38,2.35,-19.68,-91.3,Taxa Token USD,Crypto Gainers
KOBUSHI-USD,189.93,-27.52,-27.52,-27.52,-27.52,-27.52,Kobushi USD,Crypto Gainers
R  RWA36600-USD,,,,,,,$RWA USD,Crypto Gainers
JYAI-USD,175.49,706.06,625.45,625.45,625.45,625.45,Jerry The Turtle By Matt Furie USD,Crypto Gainers
CAF29490-USD,86.6,-32.15,-25.36,-88.34,-98.34,-99.99,Childrens Aid Foundation USD,Crypto Gainers
BONDX-USD,27.78,36.91,14.18,14.18,14.18,14.18,BONDX USD,Crypto Gainers
DEFIDO-USD,42.04,233.7,15.89,-43.7,-84.07,-99.62,DeFido USD,Crypto Gainers
AAX-USD,519.15,552.9,-5.38,-68.25,-84.16,-84.16,Academic Labs USD,Crypto Gainers
CROID-USD,62.89,62.37,50.96,-49.81,-64.19,-86.08,Cronos ID USD,Crypto Gainers
AICELL-USD,79.43,79.66,-50.54,-82.57,-82.57,-82.57,AICell USD,Crypto Gainers
BOLT31746-USD,21.89,54.99,146.28,-41.49,-93.47,-93.47,BOLT USD,Crypto Gainers
GROK36525-USD,-60.59,2707.85,2707.85,2707.85,2707.85,2707.85,BOME GROK USD,Crypto Gainers
BOB34422-USD,inf,inf,inf,inf,inf,inf,Build On BNB USD,Crypto Gainers
KOKOK-USD,115.5,210.35,210.35,210.35,210.35,210.35,KoKoK The Roach USD,Crypto Gainers
TAKI-USD,45.63,52.95,-54.67,-83.93,-98.6,-99.59,Taki Games USD,Crypto Gainers
MOONPIG-USD,-8.79,1350.84,1350.84,1350.84,1350.84,1350.84,moonpig USD,Crypto Gainers
SYRAX-USD,38.6,37.02,512.56,493.22,493.22,493.22,Syrax AI USD,Crypto Gainers
NERD-USD,13.04,0.44,-87.4,-92.03,-97.43,-99.8,Nerd AI USD,Crypto Gainers
DONKEY-USD,87.38,-72.21,-72.21,-72.21,-72.21,-72.21,Donkey (DONKEY_BSC_MEME) USD,Crypto Gainers
EAVE-USD,37.74,70.55,40.44,-46.57,3.48,3.48,EaveAI USD,Crypto Gainers
LABUBU33432-USD,139.83,359.39,1204.68,25.45,-89.3,-89.3,Labubu USD,Crypto Gainers
M  MAMO-USD,,,,,,,Mamo USD,Crypto Gainers
BROCCOLI35761-USD,67.82,-3.18,-51.14,-51.14,-51.14,-51.14,Broccoli (broccolibnb.org) USD,Crypto Gainers
KERMIT-USD,36.48,65.38,3.36,-40.94,-61.06,-93.94,Kermit USD,Crypto Gainers
FROG31851-USD,inf,inf,inf,-49.61,-95.8,-95.8,Frog USD,Crypto Gainers
SYMP-USD,43.92,69.57,67.93,67.93,67.93,67.93,Sympson AI USD,Crypto Gainers
IMT36285-USD,15.32,101.12,78.3,78.3,78.3,78.3,Immortal Token USD,Crypto Gainers
SQUID33447-USD,37.52,24.3,37.29,-72.23,-68.58,-68.58,Squid Game (CTO) USD,Crypto Gainers
PHTR-USD,36.81,-6.18,-29.9,327.51,-45.91,-99.17,Phuture USD,Crypto Gainers
MMSS-USD,37.08,34.24,-60.52,-90.65,-96.31,-98.91,MMSS (Ordinals) USD,Crypto Gainers
GTC-USD,77.23,-69.37,-83.46,-88.01,-92.03,-99.25,Game.com USD,Crypto Gainers
NAIIVE-USD,42.29,-55.04,-55.04,-55.04,-55.04,-55.04,Naiive USD,Crypto Gainers
PERRY35824-USD,21.06,-26.5,34.67,34.67,34.67,34.67,Perry USD,Crypto Gainers
NOMOX-USD,-2.17,-6.1,66.04,-1.63,-63.46,-63.46,NOMOEX Token USD,Crypto Gainers
VERT-USD,98.86,121.14,121.49,-6.17,-6.17,-6.17,Vertus USD,Crypto Gainers
TRT27458-USD,93.14,-69.53,-87.29,-38.01,1807.76,4998.22,TRUST AI USD,Crypto Gainers
SAY-USD,38.51,-1.37,-22.78,374.2,297.77,297.77,SAY Coin USD,Crypto Gainers
ADF24796-USD,23.26,12.65,-14.82,-36.5,-36.5,-36.5,Art de Finance USD,Crypto Gainers
GORILLA36438-USD,149.58,-56.59,-56.59,-56.59,-56.59,-56.59,Gorilla USD,Crypto Gainers
FORA-USD,20.91,26.91,96.65,7.15,-87.35,-97.1,UFORIKA USD,Crypto Gainers
LVVA-USD,20.27,6.89,3.83,3.83,3.83,3.83,Levva Protocol USD,Crypto Gainers
BARRON32173-USD,27.56,25.69,-97.57,87.16,-81.47,-81.47,Mini Donald USD,Crypto Gainers
VDR-USD,50.58,55.85,-12.28,228.1,141.31,-91.49,Vodra USD,Crypto Gainers
LOOT17623-USD,45.19,-50.53,-89.63,-89.35,-95.6,-99.87,Lootex USD,Crypto Gainers
SNAKT-USD,26.1,-59.65,-79.41,-79.41,-79.41,-79.41,Sna-King Trump USD,Crypto Gainers
SHIDO28211-USD,50.52,21.57,-43.27,-77.81,-85.57,-75.63,Shido ETH USD,Crypto Gainers
TRC27996-USD,23.48,-33.09,-84.19,-98.91,-99.7,-99.29,MetaTrace USD,Crypto Gainers
GME31248-USD,22.1,44.59,-2.75,-14.15,2097.74,1731.45,GameStop (gamestop-coin.vip) USD,Crypto Gainers
IGU-USD,23.09,7.79,-44.39,-76.45,-91.61,-99.45,IguVerse USD,Crypto Gainers
OTK-USD,50.79,83.71,14.16,-71.28,-78.47,-73.51,Octokn USD,Crypto Gainers
ALGOAI-USD,61.89,57.64,57.64,57.64,57.64,57.64,ALGORITHA AI USD,Crypto Gainers
WWY-USD,12.03,39.46,-11.63,-74.2,-94.35,-98.93,WeWay USD,Crypto Gainers
CAPTAINBNB-USD,23.67,20.81,95.75,95.75,95.75,95.75,CaptainBNB USD,Crypto Gainers
XTM4258-USD,5.65,38.88,38.88,38.88,38.88,38.88,MinoTari USD,Crypto Gainers
HABIBI31189-USD,48.74,306.66,1287.31,-59.15,-84.12,-66.08,Habibi USD,Crypto Gainers
SNS28709-USD,15.67,-13.59,-47.98,-87.83,-97.91,-96.96,Sonorus USD,Crypto Gainers
