Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
3350.T,16.83,216.86,171.82,397.26,1526.87,1479.71,Metaplanet Inc.,Trending Now
STX,3.39,35.77,13.57,12.97,23.2,165.93,Seagate Technology Holdings plc,Trending Now
9988.HK,-3.94,1.48,-14.61,40.25,47.75,-41.64,Alibaba Group Holding Limited,Trending Now
AC.TO,0.0,34.12,8.3,-23.87,2.06,6.34,Air Canada,Trending Now
CLS.TO,7.94,39.55,5.67,38.72,109.94,1809.82,Celestica Inc.,Trending Now
TD.TO,3.6,7.78,10.48,22.01,27.83,95.86,The Toronto-Dominion Bank,Trending Now
OKTA,-2.15,21.84,36.14,61.73,27.34,-32.82,"Okta, Inc.",Trending Now
RY.TO,0.32,7.63,3.84,2.78,26.74,143.39,Royal Bank of Canada,Trending Now
WCP.TO,5.06,8.67,-7.39,-8.75,-7.45,434.31,Whitecap Resources Inc.,Trending Now
CNQ.TO,0.16,4.65,5.59,-5.94,-14.19,349.78,Canadian Natural Resources Limited,Trending Now
COKE,-1.83,-16.24,-16.28,-8.66,20.36,423.23,"Coca-Cola Consolidated, Inc.",Trending Now
T.TO,-0.45,6.0,0.13,6.77,6.61,24.14,TELUS Corporation,Trending Now
BCE.TO,-2.49,-2.42,-9.84,-16.94,-29.45,-25.59,BCE Inc.,Trending Now
CM.TO,1.09,9.78,9.52,5.48,48.19,177.02,Canadian Imperial Bank of Commerce,Trending Now
