Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-25 00:00:00+00:00,,,,0.0,397516,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,270770,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,383422,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,386695,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,321965,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,257738,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,274276,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,287130,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,367333,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,302846,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,312198,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,266061,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,211071,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,294823,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,230446,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,281173,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,294893,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,278148,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,355750,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,344673,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,307459,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,280233,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,294285,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,254781,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,346609,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,275542,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,264847,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,478263,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,621136,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,527776,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,449070,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,453494,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,298561,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,349007,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,516311,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,440082,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,391298,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,374975,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,383220,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,319574,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,277414,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,330219,0.0,0.0
2025-05-06 00:00:00+00:00,,,,0.0,297813,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,292139,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,292666,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,317052,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,397159,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,325755,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,543450,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,699345,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,648308,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,432229,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,353574,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,292132,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,311583,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,266562,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,283313,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,325035,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,337421,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,512381,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,1819162,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,6599911,0.0,0.0
2025-05-27 00:00:00+00:00,2.3665288395591233e-08,2.3665288395591233e-08,2.246930641547351e-08,2.2786538877994644e-08,10719387,0.0,0.0
